wallet,total_unlocked_percentage
0x0071e28fdd77a5ad704f3a66c54d2b655b6ff45a,35
0x0071f8c219068ba3c3f1e1642b1b7157c4b173c6,75
0x00726291f006bd5d3d10980106c1292d69c0245c,60
0x00729bfc3617432f861b396b3b1635bce47cb770,75
0x007389f7a3372fe866dd247dcd4c23cb0c92cf8a,50
0x0073ea7fa01ca291c59f3b85b1a9a1ae9c697802,80
0x00741b79a61c5afc2e81b0c98d6d7f52cfff04c4,70
0x007430ba5cf528dc22c253909f658258950c6181,45
0x0074be1739f85679073ce5550a399367ff065ea3,70
0x00751548a6c9df7394fac9a3f0030003a0aad3db,50
0x0075305a1721f31abba0c734dcc168baad3925e2,60
0x0075457ae74131c22b560487e446a3778c0fe7e6,80
0x00757438f320d3e53acc25b168361a9f7e66d17d,65
0x0075a7c474ef4e26aee50374b747650a745fec11,70
0x0075e61cd4d87d454289839fc55da515e8ed189c,5
0x00763cc6db5b98297148c15dba5f09c160056f47,45
0x00770081c778f6d42fcf5d4913f2dea99c464a21,75
0x007804cfee757dacc966f8ef719abb9031ce4a0d,75
0x0079bcc251d808c673d9babb29f5850ef956d127,0
0x0079ea086ba71b8dbbb341033458a3a38eecb42b,80
0x007a65145cc36a816d3725de00360abe83d5db50,80
0x007ab0c01399cb2a5e96d408060efac9ab889eb7,75
0x007b061fd935a5ad2b44ff57b04fd2cffe5e07ca,80
0x007b1b29dc5bc34f66c1c322f0f2277a04c77727,70
0x007c6cad273f2f24032cb9b0dd8aec3592ed2e96,70
0x007c9e961197ef9c878dc723dfb9d7171b1d5f6c,50
0x007d52073d866421fef546c7135e78876c7044c2,50
0x007d6c079da209f7a956c8b1b69e4178c6dbacc1,75
0x007e6d0947966a186d458f7c008534dd8c6ac407,80
0x007eb63affb7042e6bf8eeec906f9154f9debf58,30
0x007f0c5f52b32fcd058ba43133d32e47f2ca3004,10
0x007fb51a51aedd98db15e0f0e668e29a4c751de0,80
0x0080670a07a441abf80791598743d8dae4b7548c,10
0x0081c16821c501aae3aba44fcf783f65c37a0dcd,80
0x0081e7059453d3d9a91276da933db8c7f6387bd9,65
0x00824a1b0f5611aa3e8e38f8281c2ada96ef97b9,77.5
0x00827b7a004a25be9a921042f3564de91b77e942,75
0x0083ea31949bc017c8e3f8c362dcd241573ac185,80
0x0084097e1ddee3aea0c6fbc8d381577ab6a5f0b0,65
0x00841aa6a599c247d193568e203aa8e53deb196c,22.5
0x00848b9c9e6c67a28a28fceee83c7b9329b60802,75
0x008516fda0faab6b282435b486efbcabfa52df8d,75
0x00859a56ba17ead9030c19ba1b5f209ebf34753f,72.5
0x0086117326bf44466b0c664afb40b0e94efd3e75,80
0x008699285e47a476b102cb4106837c7308eb73f3,80
0x008748341af02eb10b811fb9b380466f4d379329,45
0x00877342bdcb3feeda440c45c3e9775e1c0a56de,50
0x0087c8d5511f88744a51f880a2bec5fa2e26431f,10
0x0088571c2d53bf2a0a9beb3e0eef123a1b35a567,75
0x00888b7bac8f7e663d9cb2c80fb5058efb91d4fb,10
0x0089446ea7e1b5aa955c314435da6007790b05d5,17.5
0x0089d63aec301a46b8f2288941f89e7da733375a,67.5
0x0089ea02d2ecb711eb0e381c846b2e10d4e220b8,80
0x008b4d6087fb7a23edb7c4c5c36dffb32a0cbe0b,80
0x008b52c85638941b3bb1afb002ebb7844c416263,70
0x008b5cb7e0685532145fc048aa688124cd292a11,70
0x008b6812a42a20f92dde5248e0d684e1ebc2d2a6,70
0x008d2a4d4ea5903a565902aca1cae063612c69c6,80
0x008d6cb23ce437e918b3e471c641b282aeab2757,70
0x008e560f9828d3169d3477027c07d7089e6ba671,75
0x008e591cf865cdff2f432e92fcfa62f94153223e,30
0x008f059443472985a169823971e399d44d27793d,70
0x008fc7c26f6320ff84f17b3f9714c1374c8c00f6,80
0x009007de1e8603cb79971aba3fec11cb0ced3771,80
0x00901ebfcd3dd388c3fd90e43cc5a83369361241,45
0x00902d23bafd8af05a41144a12419a091b8458a0,75
0x009057ef70449b6489299c7a649002be902f9cba,10
0x0090db5d066b6c81d2cdff3dd563900f77234d88,75
0x0090e616d1c277a85043bb6d3c033d73790c17b1,80
0x00912c5c2a6f3423915bd62d963bfa6a17334cb3,80
0x0091c4609e437c220e2cc3291100a8382e3d1a8f,70
0x00929a959eda3ec94dc7ad027b931d6c437a87b9,80
0x009477b66dd0cb40ae9a3c99a66e27bc0497cd42,80
0x0094b5dcf769a7de33d9bbb8df5f1c3ba0bb245e,50
0x0095695460b22f50bb4eaf7aea35b99deee97f10,80
0x00959e86154eb485baa885e79b99b4354084770e,80
0x0095f14820a1dcbb9e04a441cb00ae11e0078705,10
0x00961d69cd3c5c4441bd854f522a6426597fd6ec,50
0x0096436d097380fca2f37aeea2e1f7c6e431c3ec,10
0x009656151edd99035404fc44cc3437c6917cc1cc,80
0x00981093ab3dddeb262870835f6658f4b78c8a28,60
0x00986ba3f4ff64a1941c835dc828d81ad796343b,30
0x009954f3ce8250d51176adb93861ddda48300d84,50
0x0099bdba4222386d613dc97d82015aa03a310896,70
0x009a13966ecedd69fb40bb451b71307c6b46b25c,60
0x009a4edec3e437d0c102a7d5f75e949d162f4837,70
0x009a7482bf7c391429e07a9e253f6de634173656,75
0x009a88638467af8ca34f775dd3f5c5763e2b97a6,37.5
0x009a991a3fe43214090315f929a8b3e7e0624d49,75
0x009ab8e272f641e91de00a6aded51aee432ee983,70
0x009b50ce17c2e968515c78ab7084c6d1a3dfd582,80
0x009b8c1c810b9c7fe55b6f875880794dc98e33aa,20
0x009b914646300abf1d2f6ca976c850a8d5283463,80
0x009baacc8877f68e944ce821b27783ae997e2e84,47.5
0x009bfa95e391752884bff372e4002f5cad873b35,75
0x009c12804383f868b083ac63964ae800e8f1ce67,10
0x009e123556c3c52a88f85e4d9fe4c9f9226a1e44,80
0x009e58cae153822680182ee7785ab96827937856,70
0x009ebfe5ecb102b6053aa6db60e8607785522f83,75
0x009f61200e60c8b509fa81a22f6aa124f57a18e4,75
0x009fe2efe2256aa2ba390b14477f54d2c594f3a6,75
0x009ff5c5b07d63f30e57920c1610a78c04b4546b,50
0x00a05d98fa6c867583d85fb4f263d929e4acadb0,80
0x00a091bd8f56d6295bc008f14b43b40095b78ef2,65
0x00a0aa2c48b4caa4d0fc2f192b04961e77df754f,50
0x00a0bc82fc8d6d97f37490b09374040ff824727d,5
0x00a111591d9bc06f561b26535a1af88ec2b6ea7f,10
0x00a2088ff86363bb2f6f5a84ab621a4c3b1bcb47,47.5
0x00a2adda53729a7e1fc77bc001a836710f0f50f5,80
0x00a2c049a0933c6e3e57fbccf10db1ade18fe816,75
0x00a30d3ac63cec5e714e80fc18f0cdf715484de8,10
0x00a3361fb4400c8017d917c76926ee013b0cb36b,75
0x00a36272e5d01bf729f1e6d7a09f9b5e76f32885,80
0x00a366c9102768c4d41d5b34ed7842383d3e46cc,50
0x00a41e04519b85908d138e5db6a09ede01d1d892,47.5
0x00a42967f9ea4c177b9b3ab2914e5be404ecd84a,52.5
0x00a4ac8f3b72076c4f77e46f9a905b96a8204974,80
0x00a57d590b2c1742b83f0b6dfa056a296de85a04,75
0x00a711653c66577ed6049f1ef637ee0975f003e4,80
0x00a77ddb3d3fa6ab945be05145f94520afa80c98,65
0x00a97352c0512544a17f789f4b9e0a6822c17753,80
0x00aaaf6bc954b4c562396dfbe96e6458ccd358c7,15
0x00ab3c2f74f84e0196e254f634b13ef4238c303d,50
0x00ab44ebcb3291c3e4df4eeecd4d96d770b9cc15,52.5
0x00ac0a3f2782e4af0ee8528266cc10ea5c0dfa27,50
0x00ac27d9445ebec5ec23a881c42743ed352d7c0a,72.5
0x00ac357e570e71dff1f4a59d5b80a281bded70ac,20
0x00ac82fa9d25b801561ba2c0479c7da32e1b8493,75
